jugadorID;nombre;apellidos;nombreDeportivo;anyoNacimiento;mesNacimiento;diaNacimiento;paisNacimiento;estadoNacimiento;ciudadNacimiento;anyoFallecimiento;mesFallecimiento;diaFallecimiento;paisFallecimiento;estadoFallecimiento;ciudadFallecimiento;peso;altura;batear;lanzar;fechaDebut;fechaRetirada
aardsda01;David;Aardsma;David Allan;1981;12;27;USA;CO;Denver;;;;;;;215;75;R;R;2004-04-06;2015-08-23
aaronha01;Hank;Aaron;Henry Louis;1934;2;5;USA;AL;Mobile;2021;1;22;USA;GA;Atlanta;180;72;R;R;1954-04-13;1976-10-03
aaronto01;Tommie;Aaron;Tommie Lee;1939;8;5;USA;AL;Mobile;1984;8;16;USA;GA;Atlanta;190;75;R;R;1962-04-10;1971-09-26
aasedo01;Don;Aase;Donald William;1954;9;8;USA;CA;Orange;;;;;;;190;75;R;R;1977-07-26;1990-10-03
abadan01;Andy;Abad;Fausto Andres;1972;8;25;USA;FL;Palm Beach;;;;;;;184;73;L;L;2001-09-10;2006-04-13
abadfe01;Fernando;Abad;Fernando Antonio;1985;12;17;D.R.;La Romana;La Romana;;;;;;;235;74;L;L;2010-07-28;2021-10-01
abadijo01;John;Abadie;John W.;1850;11;4;USA;PA;Philadelphia;1905;5;17;USA;NJ;Pemberton;192;72;R;R;1875-04-26;1875-06-10
abbated01;Ed;Abbaticchio;Edward James;1877;4;15;USA;PA;Latrobe;1957;1;6;USA;FL;Fort Lauderdale;170;71;R;R;1897-09-04;1910-09-15
abbeybe01;Bert;Abbey;Bert Wood;1869;11;11;USA;VT;Essex;1962;6;11;USA;VT;Colchester;175;71;R;R;1892-06-14;1896-09-23
abbeych01;Charlie;Abbey;Charles S.;1866;10;14;USA;NE;Falls City;1926;4;27;USA;CA;San Francisco;169;68;L;L;1893-08-16;1897-08-19
abbotco01;Cory;Abbott;Cory James;1995;9;20;USA;CA;San Diego;;;;;;;210;73;R;R;2021-06-05;2021-10-02
abbotda01;Dan;Abbott;Leander Franklin;1862;3;16;USA;OH;Portage;1930;2;13;USA;MI;Ottawa Lake;190;71;R;R;1890-04-19;1890-05-23
abbotfr01;Fred;Abbott;Harry Frederick;1874;10;22;USA;OH;Versailles;1935;6;11;USA;CA;Los Angeles;180;70;R;R;1903-04-25;1905-09-20
abbotgl01;Glenn;Abbott;William Glenn;1951;2;16;USA;AR;Little Rock;;;;;;;200;78;R;R;1973-07-29;1984-08-08
abbotje01;Jeff;Abbott;Jeffrey William;1972;8;17;USA;GA;Atlanta;;;;;;;190;74;R;L;1997-06-10;2001-09-29
abbotji01;Jim;Abbott;James Anthony;1967;9;19;USA;MI;Flint;;;;;;;200;75;L;L;1989-04-08;1999-07-21
abbotku01;Kurt;Abbott;Kurt Thomas;1969;6;2;USA;OH;Zanesville;;;;;;;180;71;R;R;1993-09-07;2001-04-13
abbotky01;Kyle;Abbott;Lawrence Kyle;1968;2;18;USA;MA;Newburyport;;;;;;;200;76;L;L;1991-09-10;1996-08-24
abbotod01;Ody;Abbott;Ody Cleon;1886;9;5;USA;PA;New Eagle;1933;4;13;USA;DC;Washington;165;69;L;R;1910-09-10;1910-10-15
abbotpa01;Paul;Abbott;Paul David;1967;9;15;USA;CA;Van Nuys;;;;;;;185;75;R;R;1990-08-21;2004-08-07
aberal01;Al;Aber;Albert Julius;1927;7;31;USA;OH;Cleveland;1993;5;20;USA;OH;Garfield Heights;195;74;L;L;1950-09-15;1957-09-11
abercda01;Frank;Abercrombie;Francis Patterson;1850;1;2;USA;OK;Fort Towson;1939;11;11;USA;PA;Philadelphia;;;;;1871-10-21;1871-10-21
abercre01;Reggie;Abercrombie;Reginald Damascus;1980;7;15;USA;GA;Columbus;;;;;;;215;75;R;R;2006-04-04;2008-09-28
abernbi01;Bill;Abernathie;William Edward;1929;1;30;USA;CA;Torrance;2006;2;19;USA;CA;Yucaipa;190;70;R;R;1952-09-27;1952-09-27
abernbr01;Brent;Abernathy;Michael Brent;1977;9;23;USA;GA;Atlanta;;;;;;;185;73;R;R;2001-06-25;2005-09-29
abernte01;Ted;Abernathy;Talmadge Lafayette;1921;10;30;USA;NC;Bynum;2001;11;16;USA;NC;Charlotte;210;74;R;L;1942-09-19;1944-04-29
abernte02;Ted;Abernathy;Theodore Wade;1933;3;6;USA;NC;Stanley;2004;12;16;USA;NC;Gastonia;215;76;R;R;1955-04-13;1972-09-30
abernwo01;Woody;Abernathy;Virgil Woodrow;1915;2;1;USA;NC;Forest City;1994;12;5;USA;KY;Louisville;170;72;L;L;1946-07-28;1947-04-17
aberscl01;Cliff;Aberson;Clifford Alexander;1921;8;28;USA;IL;Chicago;1973;6;23;USA;CA;Vallejo;200;72;R;R;1947-07-18;1949-05-09
ablesha01;Harry;Ables;Harry Terrell;1883;10;4;USA;TX;Terrell;1951;2;8;USA;TX;San Antonio;200;74;R;L;1905-09-02;1911-05-05
abnersh01;Shawn;Abner;Shawn Wesley;1966;6;17;USA;OH;Hamilton;;;;;;;190;73;R;R;1987-09-08;1992-10-03
abramca01;Cal;Abrams;Calvin Ross;1924;3;2;USA;PA;Philadelphia;1997;2;25;USA;FL;Fort Lauderdale;185;72;L;L;1949-04-19;1956-05-09
abramge01;George;Abrams;George Allen;1897;11;9;USA;WA;Seattle;1986;12;5;USA;FL;Clearwater;170;69;R;R;1923-04-19;1923-05-04
abregjo01;Johnny;Abrego;Johnny Ray;1962;7;4;USA;TX;Corpus Christi;;;;;;;185;72;R;R;1985-09-04;1985-10-03
