anyo;liga;equipoId;equipoNombre;estadio;publicoEstadio;equipoDivision;clasificacionFinal;G;Ghome;W;L;DivWin;WCWin;LgWin;WSWin;R;AB;H;B2;B3;HR;BB;SO;SB;CS;HBP;SF;RA;ER;ERA;CG;SHO;SV;IPouts;HA;HRA;BBA;SOA;E;DP;FP;BPF;PPF
1884;UA;ALT;Altoona Mountain City;;;;10;25;;6;19;;;N;;90;899;223;30;6;2;22;130;;;;;216;114;467;20;0;0;659;292;3;52;93;156;4;862;101;109
2004;AL;ANA;Anaheim Angels;;3375677;W;1;162;81;92;70;Y;N;N;N;836;5675;1603;272;37;162;450;942;143;46;73;41;734;692;428;2;11;50;4363;1476;170;502;1164;90;126;985;97;97
2021;NL;ARI;Arizona Diamondbacks;Chase Field;1043010;W;5;162;81;52;110;N;N;N;N;679;5489;1297;308;31;144;537;1465;43;16;54;28;893;804;511;3;4;22;4252;1480;232;555;1238;100;113;983;99;101
2021;NL;ATL;Atlanta Braves;SunTrust Park;2300247;E;1;161;80;88;73;Y;N;Y;Y;790;5363;1307;269;20;239;549;1453;59;19;67;43;656;608;388;2;18;40;4232;1237;183;516;1417;71;104;988;107;105
2021;AL;BAL;Baltimore Orioles;Oriole Park at Camden Yards;793229;E;5;162;81;52;110;N;N;N;N;659;5420;1296;266;15;195;451;1454;54;23;65;31;956;910;584;1;5;26;4206;1518;258;563;1234;74;101;987;103;105
1885;NL;BFN;Buffalo Bisons;Olympic Park I;;;7;112;;38;74;;;N;N;495;3900;980;149;50;23;179;380;;;;;761;456;429;107;4;1;2868;1175;31;234;320;464;65;901;103;105
1890;PL;BFP;Buffalo Bisons;;;;8;134;;36;96;;;N;;793;4795;1249;180;64;20;541;367;160;;96;;1199;775;611;125;2;0;3423;1499;67;673;351;491;116;914;92;97
1874;NA;BL1;Baltimore Canaries;Newington Park;;;8;47;;9;38;;;N;;227;1776;435;45;7;1;22;37;12;5;;;505;146;313;42;0;0;1260;640;3;39;20;436;15;812;102;104
1889;AA;BL2;Baltimore Orioles;Oriole Park I;;;5;139;;70;65;;;N;N;791;4756;1209;155;68;20;418;536;311;;82;;795;471;356;128;10;1;3576;1168;27;424;540;536;104;907;98;99
1891;AA;BL3;Baltimore Orioles;Union Park;;;4;139;;71;64;;;N;;850;4771;1217;142;99;30;551;553;342;;111;;798;464;343;118;6;2;3651;1238;33;472;408;503;103;915;101;100
1873;NA;BL4;Baltimore Marylands;Newington Park;;;9;6;;0;6;;;N;;26;211;33;1;0;0;;3;;;;;152;48;800;6;0;0;162;144;1;1;0;74;0;761;77;99
1901;AL;BLA;Baltimore Orioles;Oriole Park I;141952;;5;134;66;68;65;;;N;;760;4589;1348;179;111;24;369;373;207;;52;;750;480;373;115;4;3;3474;1313;21;344;271;401;76;926;104;105
1915;FL;BLF;Baltimore Terrapins;;;;8;154;;47;107;;;N;;550;5060;1235;196;53;36;470;641;128;;;;760;598;396;85;5;7;4080;1455;52;466;570;273;140;957;103;105
1899;NL;BLN;Baltimore Orioles;Union Park;121935;;4;151;;86;62;;;N;;827;5073;1509;204;71;17;418;381;364;;122;;691;480;331;132;9;5;3913;1403;13;349;294;308;96;949;105;103
1884;UA;BLU;Baltimore Monumentals;;;;4;105;;58;47;;;N;;662;3883;952;150;26;17;144;652;;;;;627;317;301;92;4;0;2840;1002;24;177;628;616;53;872;109;109
2021;AL;BOS;Boston Red Sox;;1725323;E;2;162;81;92;70;N;Y;N;N;829;5495;1434;330;23;219;512;1386;40;21;61;42;749;671;426;0;7;49;4257;1409;176;546;1527;108;143;981;109;109
1872;NA;BR1;Brooklyn Eckfords;Union Grounds;;;9;29;;3;26;;;N;;152;1072;248;29;9;0;18;40;8;13;;;413;160;555;28;0;0;778;484;7;36;13;274;9;803;87;96
1875;NA;BR2;Brooklyn Atlantics;Union Grounds;;;11;44;;2;42;;;N;;132;1562;304;33;6;2;8;36;1;5;;;438;139;316;31;0;0;1188;535;6;17;16;432;20;801;88;94
1889;AA;BR3;Brooklyn Bridegrooms;Washington Park I;;;1;138;;93;44;;;Y;N;995;4815;1265;188;79;47;550;401;389;;49;;706;487;361;120;10;1;3638;1205;33;400;471;421;92;928;95;91
1890;AA;BR4;Brooklyn Gladiators;;;;9;100;;26;72;;;N;N;492;3475;769;116;47;13;328;456;182;;31;;733;460;471;96;0;0;2637;1011;21;421;230;404;92;909;97;101
1915;FL;BRF;Brooklyn Tip-Tops;;;;7;153;;70;82;;;N;;647;5035;1348;205;75;36;473;654;249;;;;673;507;337;78;10;16;4065;1299;27;536;467;285;103;955;99;100
1957;NL;BRO;Brooklyn Dodgers;Ebbets Field;1028258;;3;154;77;84;70;;;N;N;690;5242;1325;188;38;147;550;848;60;34;;;591;521;335;44;18;29;4197;1285;144;456;891;127;136;979;109;107
1890;PL;BRP;Brooklyn Ward's Wonders;;;;2;133;;76;56;;;N;;964;4887;1352;186;93;34;502;369;272;;42;;893;519;395;111;4;7;3552;1334;26;570;377;531;114;909;106;105
