jugador;premio;anyo;liga
bondto01;Pitching Triple Crown;1877;NL
hinespa01;Triple Crown;1878;NL
heckegu01;Pitching Triple Crown;1884;AA
radboch01;Pitching Triple Crown;1884;NL
oneilti01;Triple Crown;1887;AA
keefeti01;Pitching Triple Crown;1888;NL
clarkjo01;Pitching Triple Crown;1889;NL
rusieam01;Pitching Triple Crown;1894;NL
duffyhu01;Triple Crown;1894;NL
youngcy01;Pitching Triple Crown;1901;AL
lajoina01;Triple Crown;1901;AL
wadderu01;Pitching Triple Crown;1905;AL
mathech01;Pitching Triple Crown;1905;NL
chaseha01;Baseball Magazine All-Star;1908;AL
lajoina01;Baseball Magazine All-Star;1908;AL
lordha01;Baseball Magazine All-Star;1908;AL
crigelo01;Baseball Magazine All-Star;1908;AL
sullibi03;Baseball Magazine All-Star;1908;AL
crawfsa01;Baseball Magazine All-Star;1908;AL
stonege01;Baseball Magazine All-Star;1908;AL
walshed01;Baseball Magazine All-Star;1908;AL
youngcy01;Baseball Magazine All-Star;1908;AL
wadderu01;Baseball Magazine All-Star;1908;AL
jossad01;Baseball Magazine All-Star;1908;AL
donovbi01;Baseball Magazine All-Star;1908;AL
cobbty01;Baseball Magazine All-Star;1908;AL
wallabo01;Baseball Magazine All-Star;1908;AL
chaseha01;Baseball Magazine All-Star;1908;ML
lajoina01;Baseball Magazine All-Star;1908;ML
devliar01;Baseball Magazine All-Star;1908;ML
bresnro01;Baseball Magazine All-Star;1908;ML
klingjo01;Baseball Magazine All-Star;1908;ML
donlimi01;Baseball Magazine All-Star;1908;ML
clarkfr01;Baseball Magazine All-Star;1908;ML
walshed01;Baseball Magazine All-Star;1908;ML
mathech01;Baseball Magazine All-Star;1908;ML
youngcy01;Baseball Magazine All-Star;1908;ML
brownmo01;Baseball Magazine All-Star;1908;ML
ruckena01;Baseball Magazine All-Star;1908;ML
cobbty01;Baseball Magazine All-Star;1908;ML
wagneho01;Baseball Magazine All-Star;1908;ML
tennefr02;Baseball Magazine All-Star;1908;NL
eversjo01;Baseball Magazine All-Star;1908;NL
devliar01;Baseball Magazine All-Star;1908;NL
bresnro01;Baseball Magazine All-Star;1908;NL
klingjo01;Baseball Magazine All-Star;1908;NL
donlimi01;Baseball Magazine All-Star;1908;NL
clarkfr01;Baseball Magazine All-Star;1908;NL
brownmo01;Baseball Magazine All-Star;1908;NL
mathech01;Baseball Magazine All-Star;1908;NL
ruckena01;Baseball Magazine All-Star;1908;NL
willivi01;Baseball Magazine All-Star;1908;NL
reulbed01;Baseball Magazine All-Star;1908;NL
schulfr01;Baseball Magazine All-Star;1908;NL
wagneho01;Baseball Magazine All-Star;1908;NL
mathech01;Pitching Triple Crown;1908;NL
chaseha01;Baseball Magazine All-Star;1909;AL
collied01;Baseball Magazine All-Star;1909;AL
lordha01;Baseball Magazine All-Star;1909;AL
carribi02;Baseball Magazine All-Star;1909;AL
sullibi03;Baseball Magazine All-Star;1909;AL
streega01;Baseball Magazine All-Star;1909;AL
speaktr01;Baseball Magazine All-Star;1909;AL
crawfsa01;Baseball Magazine All-Star;1909;AL
walshed01;Baseball Magazine All-Star;1909;AL
planked01;Baseball Magazine All-Star;1909;AL
johnswa01;Baseball Magazine All-Star;1909;AL
mullige01;Baseball Magazine All-Star;1909;AL
woodjo02;Baseball Magazine All-Star;1909;AL
cobbty01;Baseball Magazine All-Star;1909;AL
bushdo01;Baseball Magazine All-Star;1909;AL
chaseha01;Baseball Magazine All-Star;1909;ML
collied01;Baseball Magazine All-Star;1909;ML
lordha01;Baseball Magazine All-Star;1909;ML
klingjo01;Baseball Magazine All-Star;1909;ML
carribi02;Baseball Magazine All-Star;1909;ML
gibsoge01;Baseball Magazine All-Star;1909;ML
speaktr01;Baseball Magazine All-Star;1909;ML
clarkfr01;Baseball Magazine All-Star;1909;ML
mathech01;Baseball Magazine All-Star;1909;ML
walshed01;Baseball Magazine All-Star;1909;ML
brownmo01;Baseball Magazine All-Star;1909;ML
adamsba01;Baseball Magazine All-Star;1909;ML
planked01;Baseball Magazine All-Star;1909;ML
johnswa01;Baseball Magazine All-Star;1909;ML
cobbty01;Baseball Magazine All-Star;1909;ML
wagneho01;Baseball Magazine All-Star;1909;ML
chancfr01;Baseball Magazine All-Star;1909;NL
eversjo01;Baseball Magazine All-Star;1909;NL
devliar01;Baseball Magazine All-Star;1909;NL
klingjo01;Baseball Magazine All-Star;1909;NL
gibsoge01;Baseball Magazine All-Star;1909;NL
bresnro01;Baseball Magazine All-Star;1909;NL
leachto01;Baseball Magazine All-Star;1909;NL
clarkfr01;Baseball Magazine All-Star;1909;NL
mathech01;Baseball Magazine All-Star;1909;NL
brownmo01;Baseball Magazine All-Star;1909;NL
reulbed01;Baseball Magazine All-Star;1909;NL
camniho01;Baseball Magazine All-Star;1909;NL
adamsba01;Baseball Magazine All-Star;1909;NL
hofmaso01;Baseball Magazine All-Star;1909;NL
wagneho01;Baseball Magazine All-Star;1909;NL
cobbty01;Triple Crown;1909;AL
chaseha01;Baseball Magazine All-Star;1910;AL
lajoina01;Baseball Magazine All-Star;1910;AL
lordha01;Baseball Magazine All-Star;1910;AL
thomair01;Baseball Magazine All-Star;1910;AL
sweened01;Baseball Magazine All-Star;1910;AL
speaktr01;Baseball Magazine All-Star;1910;AL
stonege01;Baseball Magazine All-Star;1910;AL
walshed01;Baseball Magazine All-Star;1910;AL
coombja01;Baseball Magazine All-Star;1910;AL
bendech01;Baseball Magazine All-Star;1910;AL
cobbty01;Baseball Magazine All-Star;1910;AL
wallabo01;Baseball Magazine All-Star;1910;AL
chaseha01;Baseball Magazine All-Star;1910;ML
lajoina01;Baseball Magazine All-Star;1910;ML
devliar01;Baseball Magazine All-Star;1910;ML
gibsoge01;Baseball Magazine All-Star;1910;ML
archeji01;Baseball Magazine All-Star;1910;ML
speaktr01;Baseball Magazine All-Star;1910;ML
mageesh01;Baseball Magazine All-Star;1910;ML
walshed01;Baseball Magazine All-Star;1910;ML
mathech01;Baseball Magazine All-Star;1910;ML
coombja01;Baseball Magazine All-Star;1910;ML
bendech01;Baseball Magazine All-Star;1910;ML
johnswa01;Baseball Magazine All-Star;1910;ML
cobbty01;Baseball Magazine All-Star;1910;ML
wagneho01;Baseball Magazine All-Star;1910;ML
chancfr01;Baseball Magazine All-Star;1910;NL
eversjo01;Baseball Magazine All-Star;1910;NL
devliar01;Baseball Magazine All-Star;1910;NL
gibsoge01;Baseball Magazine All-Star;1910;NL
archeji01;Baseball Magazine All-Star;1910;NL
leachto01;Baseball Magazine All-Star;1910;NL
mageesh01;Baseball Magazine All-Star;1910;NL
mathech01;Baseball Magazine All-Star;1910;NL
ruckena01;Baseball Magazine All-Star;1910;NL
coleki01;Baseball Magazine All-Star;1910;NL
schulfr01;Baseball Magazine All-Star;1910;NL
wagneho01;Baseball Magazine All-Star;1910;NL
chaseha01;Baseball Magazine All-Star;1911;AL
collied01;Baseball Magazine All-Star;1911;AL
bakerfr01;Baseball Magazine All-Star;1911;AL
thomair01;Baseball Magazine All-Star;1911;AL
carribi02;Baseball Magazine All-Star;1911;AL
stanaos01;Baseball Magazine All-Star;1911;AL
cobbty01;Baseball Magazine All-Star;1911;AL
crawfsa01;Baseball Magazine All-Star;1911;AL
johnswa01;Baseball Magazine All-Star;1911;AL
walshed01;Baseball Magazine All-Star;1911;AL
greggve01;Baseball Magazine All-Star;1911;AL
bendech01;Baseball Magazine All-Star;1911;AL
coombja01;Baseball Magazine All-Star;1911;AL
jacksjo01;Baseball Magazine All-Star;1911;AL
bushdo01;Baseball Magazine All-Star;1911;AL
chaseha01;Baseball Magazine All-Star;1911;ML
collied01;Baseball Magazine All-Star;1911;ML
bakerfr01;Baseball Magazine All-Star;1911;ML
bresnro01;Baseball Magazine All-Star;1911;ML
dooinre01;Baseball Magazine All-Star;1911;ML
meyerch01;Baseball Magazine All-Star;1911;ML
thomair01;Baseball Magazine All-Star;1911;ML
cobbty01;Baseball Magazine All-Star;1911;ML
clarkfr01;Baseball Magazine All-Star;1911;ML
johnswa01;Baseball Magazine All-Star;1911;ML
mathech01;Baseball Magazine All-Star;1911;ML
alexape01;Baseball Magazine All-Star;1911;ML
greggve01;Baseball Magazine All-Star;1911;ML
ruckena01;Baseball Magazine All-Star;1911;ML
walshed01;Baseball Magazine All-Star;1911;ML
jacksjo01;Baseball Magazine All-Star;1911;ML
wagneho01;Baseball Magazine All-Star;1911;ML
daubeja01;Baseball Magazine All-Star;1911;NL
doylela01;Baseball Magazine All-Star;1911;NL
loberha01;Baseball Magazine All-Star;1911;NL
bresnro01;Baseball Magazine All-Star;1911;NL
dooinre01;Baseball Magazine All-Star;1911;NL
meyerch01;Baseball Magazine All-Star;1911;NL
archeji01;Baseball Magazine All-Star;1911;NL
donlimi01;Baseball Magazine All-Star;1911;NL
